"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"E2";"Electrode_Shape";1;"ER";;;
2;"E1";"Electrode_Shape";1;"E1";;;
3;"J4";"PinSocket_2x03_P2.54mm_Vertical";1;"Conn_01x06_Socket";;;
4;"R11,R10";"R_0402_1005Metric";2;"27k";;;
5;"J7,J3";"PinHeader_2x03_P2.54mm_Vertical";2;"Conn_01x06_Pin";;;
6;"R13,R12";"R_0402_1005Metric";2;"100";;;
7;"C2,C1";"C_0603_1608Metric";2;"470pF";;;
8;"U3,U5,U6,U1";"SOT95P280X145-5N";4;"LPV821DBVR";;;
9;"R20,R19,R14";"R_0402_1005Metric";3;"150k";;;
10;"U7";"DRL5-L";1;"TPD2E001DRLR";;;
11;"C9,C8,C10,C11,C7";"C_0805_2012Metric";5;"0.1uF";;;
12;"R22,R23,R24,R2,R21,R1";"R_0402_1005Metric";6;"10k";;;
13;"R4,R3";"R_0402_1005Metric";2;"2.2k";;;
14;"R9,R8,R6,R7";"R_0402_1005Metric";4;"10M";;;
15;"R16,R15";"R_0402_1005Metric";2;"12k";;;
16;"L1,L2";"IND_BLM15_1P05X0P55X0P55_MUR";2;"L_Ferrite";;;
17;"D1,D3,D2";"D_SOD-523";3;"D_Zener";;;
18;"C5";"C_0603_1608Metric";1;"6.8nF";;;
19;"U2";"VSSOP-8_3x3mm_P0.65mm";1;"INA333xxDGK";;;
20;"C4";"C_0805_2012Metric";1;"22nF";;;
21;"U8";"SOIC127P599X175-8N";1;"TLV8542DR";;;
22;"R5";"R_0402_1005Metric";1;"330R";;;
23;"C3";"C_0402_1005Metric";1;"10nF";;;
24;"C6";"C_0805_2012Metric";1;"33nF";;;
25;"J1";"PinSocket_2x02_P2.54mm_Vertical";1;"Conn_01x04_Socket";;;
26;"J2";"PinHeader_2x02_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
27;"E3";"Electrode_Shape";1;"E2";;;
