Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470pF,C_0603_1608Metric,33.325,-28.7,0,top
C2,470pF,C_0603_1608Metric,33.49,-25.6,0,top
C3,10nF,C_0402_1005Metric,29.434,-35.777,-90,top
C4,22nF,C_0805_2012Metric,24.8468,-38.162,180,top
C5,6.8nF,C_0603_1608Metric,41.895,-33.32,180,top
C6,33nF,C_0805_2012Metric,42.195,-37.9334,0,top
C7,0.1uF,C_0805_2012Metric,31.65,-23.81,180,top
C8,0.1uF,C_0805_2012Metric,51.4304,-24.6594,-90,top
C9,0.1uF,C_0805_2012Metric,41.15,-23.75,180,top
C10,0.1uF,C_0805_2012Metric,45.24,-36,-90,top
C11,0.1uF,C_0805_2012Metric,32.5582,-35.307,90,top
D1,D_Zener,D_SOD-523,57.9192,-13.2508,0,top
D2,D_Zener,D_SOD-523,29.9532,-13.27,0,top
D3,D_Zener,D_SOD-523,44.2192,-13.2508,0,top
E1,E1,Electrode_Shape,53.4692,-16.0672,0,top
E2,ER,Electrode_Shape,40.0004,-16.0672,0,top
E3,E2,Electrode_Shape,25.4692,-16.0672,0,top
J1,Conn_01x04_Socket,PinSocket_2x02_P2.54mm_Vertical,14.4988,-17.255,180,top
J4,Conn_01x06_Socket,PinSocket_2x03_P2.54mm_Vertical,59.528,-27.2946,-90,top
J7,Conn_01x06_Pin,PinHeader_2x03_P2.54mm_Vertical,19.4874,-34.7648,-90,top
L1,L_Ferrite,IND_BLM15_1P05X0P55X0P55_MUR,50.9985,-13.1508,180,top
L2,L_Ferrite,IND_BLM15_1P05X0P55X0P55_MUR,23.0899,-13.1938,0,top
R1,10k,R_0402_1005Metric,57.2692,-15.5608,90,top
R2,10k,R_0402_1005Metric,29.2692,-15.4408,90,top
R3,2.2k,R_0402_1005Metric,48.4792,-13.1508,180,top
R4,2.2k,R_0402_1005Metric,20.3292,-13.1938,180,top
R5,330R,R_0402_1005Metric,43.5564,-15.808,90,top
R6,10M,R_0402_1005Metric,31.24,-28.42,90,top
R7,10M,R_0402_1005Metric,31.26,-25.88,90,top
R8,10M,R_0402_1005Metric,35.68,-28.51,90,top
R9,10M,R_0402_1005Metric,35.67,-26.01,90,top
R10,27k,R_0402_1005Metric,27.908,-38.162,180,top
R11,27k,R_0402_1005Metric,27.9862,-35.7764,90,top
R12,100,R_0402_1005Metric,50.86,-37.22,0,top
R13,100,R_0402_1005Metric,48.39,-37.2,180,top
R14,150k,R_0402_1005Metric,34.9254,-35.0378,-90,top
R15,12k,R_0402_1005Metric,45.45,-24.51,-90,top
R16,12k,R_0402_1005Metric,38.2,-25.29,-90,top
R19,150k,R_0402_1005Metric,39.6194,-38.2382,90,top
R20,150k,R_0402_1005Metric,34.9254,-37.0932,-90,top
R21,10k,R_0402_1005Metric,28.801,-33.1328,0,top
R22,10k,R_0402_1005Metric,30.7294,-34.7604,-90,top
R23,10k,R_0402_1005Metric,44.8478,-27.9258,0,top
R24,10k,R_0402_1005Metric,47.2628,-27.9258,0,top
U1,LPV821DBVR,SOT95P280X145-5N,25.0756,-35.18,0,top
U2,INA333xxDGK,VSSOP-8_3x3mm_P0.65mm,49.4475,-34.325,180,top
U3,LPV821DBVR,SOT95P280X145-5N,38.2378,-35.5032,180,top
U5,LPV821DBVR,SOT95P280X145-5N,48.1282,-24.6738,0,top
U6,LPV821DBVR,SOT95P280X145-5N,40.8744,-26.7726,0,top
U7,TPD2E001DRLR,DRL5-L,20.105001,-26.016301,90,top
U8,TLV8542DR,SOIC127P599X175-8N,26.009,-25.954,0,top
